Date,Year,Quarter,QuarterLabel,Month,MonthName,MonthShort,YearMonth,Day,Weekday,WeekdayName,IsWeekend
2014-01-01,2014,1,Q1 2014,1,January,Jan,2014-01,1,3,Wednesday,False
2014-01-02,2014,1,Q1 2014,1,January,Jan,2014-01,2,4,Thursday,False
2014-01-03,2014,1,Q1 2014,1,January,Jan,2014-01,3,5,Friday,False
2014-01-04,2014,1,Q1 2014,1,January,Jan,2014-01,4,6,Saturday,True
2014-01-05,2014,1,Q1 2014,1,January,Jan,2014-01,5,7,Sunday,True
2014-01-06,2014,1,Q1 2014,1,January,Jan,2014-01,6,1,Monday,False
2014-01-07,2014,1,Q1 2014,1,January,Jan,2014-01,7,2,Tuesday,False
2014-01-08,2014,1,Q1 2014,1,January,Jan,2014-01,8,3,Wednesday,False
2014-01-09,2014,1,Q1 2014,1,January,Jan,2014-01,9,4,Thursday,False
2014-01-10,2014,1,Q1 2014,1,January,Jan,2014-01,10,5,Friday,False
2014-01-11,2014,1,Q1 2014,1,January,Jan,2014-01,11,6,Saturday,True
2014-01-12,2014,1,Q1 2014,1,January,Jan,2014-01,12,7,Sunday,True
2014-01-13,2014,1,Q1 2014,1,January,Jan,2014-01,13,1,Monday,False
2014-01-14,2014,1,Q1 2014,1,January,Jan,2014-01,14,2,Tuesday,False
2014-01-15,2014,1,Q1 2014,1,January,Jan,2014-01,15,3,Wednesday,False
2014-01-16,2014,1,Q1 2014,1,January,Jan,2014-01,16,4,Thursday,False
2014-01-17,2014,1,Q1 2014,1,January,Jan,2014-01,17,5,Friday,False
2014-01-18,2014,1,Q1 2014,1,January,Jan,2014-01,18,6,Saturday,True
2014-01-19,2014,1,Q1 2014,1,January,Jan,2014-01,19,7,Sunday,True
2014-01-20,2014,1,Q1 2014,1,January,Jan,2014-01,20,1,Monday,False
2014-01-21,2014,1,Q1 2014,1,January,Jan,2014-01,21,2,Tuesday,False
2014-01-22,2014,1,Q1 2014,1,January,Jan,2014-01,22,3,Wednesday,False
2014-01-23,2014,1,Q1 2014,1,January,Jan,2014-01,23,4,Thursday,False
2014-01-24,2014,1,Q1 2014,1,January,Jan,2014-01,24,5,Friday,False
2014-01-25,2014,1,Q1 2014,1,January,Jan,2014-01,25,6,Saturday,True
2014-01-26,2014,1,Q1 2014,1,January,Jan,2014-01,26,7,Sunday,True
2014-01-27,2014,1,Q1 2014,1,January,Jan,2014-01,27,1,Monday,False
2014-01-28,2014,1,Q1 2014,1,January,Jan,2014-01,28,2,Tuesday,False
2014-01-29,2014,1,Q1 2014,1,January,Jan,2014-01,29,3,Wednesday,False
2014-01-30,2014,1,Q1 2014,1,January,Jan,2014-01,30,4,Thursday,False
2014-01-31,2014,1,Q1 2014,1,January,Jan,2014-01,31,5,Friday,False
2014-02-01,2014,1,Q1 2014,2,February,Feb,2014-02,1,6,Saturday,True
2014-02-02,2014,1,Q1 2014,2,February,Feb,2014-02,2,7,Sunday,True
2014-02-03,2014,1,Q1 2014,2,February,Feb,2014-02,3,1,Monday,False
2014-02-04,2014,1,Q1 2014,2,February,Feb,2014-02,4,2,Tuesday,False
2014-02-05,2014,1,Q1 2014,2,February,Feb,2014-02,5,3,Wednesday,False
2014-02-06,2014,1,Q1 2014,2,February,Feb,2014-02,6,4,Thursday,False
2014-02-07,2014,1,Q1 2014,2,February,Feb,2014-02,7,5,Friday,False
2014-02-08,2014,1,Q1 2014,2,February,Feb,2014-02,8,6,Saturday,True
